날짜,년도,월,소비량
1997-11-01,1997,11,277.8
1997-12-01,1997,12,275.3
1998-01-01,1998,1,285.7
1998-02-01,1998,2,266.7
1998-03-01,1998,3,273.1
1998-04-01,1998,4,273.4
1998-05-01,1998,5,270.3
1998-06-01,1998,6,272.4
1998-07-01,1998,7,265.2
1998-08-01,1998,8,264.1
1998-09-01,1998,9,265.6
1998-01-01,1998,1,270.3
1998-11-01,1998,11,267.9
1998-12-01,1998,12,266.5
1999-01-01,1999,1,264.9
1999-02-01,1999,2,282.3
1999-03-01,1999,3,266.7
1999-04-01,1999,4,267.7
1999-05-01,1999,5,266.2
1999-06-01,1999,6,262.2
1999-07-01,1999,7,258.5
1999-08-01,1999,8,256.4
1999-09-01,1999,9,267.8
1999-01-01,1999,1,258.1
1999-11-01,1999,11,262.5
1999-12-01,1999,12,260.3
2000-01-01,2000,1,260.4
2000-02-01,2000,2,285.5
2000-03-01,2000,3,255.9
2000-04-01,2000,4,258.1
2000-05-01,2000,5,253.0
2000-06-01,2000,6,252.7
2000-07-01,2000,7,247.4
2000-08-01,2000,8,243.1
2000-09-01,2000,9,254.4
2000-01-01,2000,1,246.3
2000-11-01,2000,11,249.0
2000-12-01,2000,12,245.6
2001-01-01,2001,1,256.8
2001-02-01,2001,2,245.9
2001-03-01,2001,3,241.1
2001-04-01,2001,4,243.8
2001-05-01,2001,5,241.6
2001-06-01,2001,6,241.4
2001-07-01,2001,7,238.8
2001-08-01,2001,8,236.6
2001-09-01,2001,9,245.0
2001-01-01,2001,1,240.4
2001-11-01,2001,11,242.6
2001-12-01,2001,12,239.3
2002-01-01,2002,1,238.4
2002-02-01,2002,2,257.6
2002-03-01,2002,3,237.2
2002-04-01,2002,4,237.9
2002-05-01,2002,5,235.5
2002-06-01,2002,6,236.2
2002-07-01,2002,7,232.3
2002-08-01,2002,8,231.9
2002-09-01,2002,9,240.6
2002-01-01,2002,1,233.6
2002-11-01,2002,11,237.0
2002-12-01,2002,12,235.5
2003-01-01,2003,1,238.1
2003-02-01,2003,2,230.1
2003-03-01,2003,3,223.1
2003-04-01,2003,4,229.3
2003-05-01,2003,5,224.3
2003-06-01,2003,6,225.0
2003-07-01,2003,7,219.9
2003-08-01,2003,8,220.1
2003-09-01,2003,9,228.3
2003-01-01,2003,1,223.2
2003-11-01,2003,11,227.5
2003-12-01,2003,12,226.2
2004-01-01,2004,1,238.0
2004-02-01,2004,2,225.9
2004-03-01,2004,3,222.7
2004-04-01,2004,4,225.0
2004-05-01,2004,5,221.7
2004-06-01,2004,6,222.9
2004-07-01,2004,7,219.8
2004-08-01,2004,8,218.3
2004-09-01,2004,9,227.5
2004-01-01,2004,1,219.2
2004-11-01,2004,11,224.1
2004-12-01,2004,12,223.6
2005-01-01,2005,1,222.4
2005-02-01,2005,2,238.5
2005-03-01,2005,3,220.8
2005-04-01,2005,4,222.5
2005-05-01,2005,5,220.1
2005-06-01,2005,6,219.3
2005-07-01,2005,7,214.7
2005-08-01,2005,8,212.7
2005-09-01,2005,9,221.2
2005-01-01,2005,1,214.8
2005-11-01,2005,11,219.0
2005-12-01,2005,12,216.9
2006-01-01,2006,1,229.2
2006-02-01,2006,2,219.2
2006-03-01,2006,3,215.4
2006-04-01,2006,4,217.9
2006-05-01,2006,5,216.0
2006-06-01,2006,6,214.6
2006-07-01,2006,7,209.9
2006-08-01,2006,8,208.5
2006-09-01,2006,9,211.2
2006-01-01,2006,1,215.0
2006-11-01,2006,11,213.2
2006-12-01,2006,12,213.4
2007-01-01,2007,1,208.2
2007-02-01,2007,2,228.1
2007-03-01,2007,3,209.0
2007-04-01,2007,4,211.8
2007-05-01,2007,5,209.1
2007-06-01,2007,6,209.7
2007-07-01,2007,7,205.2
2007-08-01,2007,8,203.6
2007-09-01,2007,9,211.5
2007-01-01,2007,1,206.4
2007-11-01,2007,11,211.6
2007-12-01,2007,12,207.8
2008-01-01,2008,1,208.3
2008-02-01,2008,2,219.8
2008-03-01,2008,3,205.5
2008-04-01,2008,4,208.1
2008-05-01,2008,5,206.1
2008-06-01,2008,6,206.2
2008-07-01,2008,7,204.1
2008-08-01,2008,8,202.0
2008-09-01,2008,9,209.4
2008-01-01,2008,1,203.2
2008-11-01,2008,11,205.4
2008-12-01,2008,12,204.8
2009-01-01,2009,1,215.0
2009-02-01,2009,2,204.9
2009-03-01,2009,3,202.8
2009-04-01,2009,4,204.1
2009-05-01,2009,5,201.9
2009-06-01,2009,6,201.4
2009-07-01,2009,7,198.5
2009-08-01,2009,8,196.2
2009-09-01,2009,9,200.3
2009-01-01,2009,1,200.3
2009-11-01,2009,11,200.3
2009-12-01,2009,12,200.8
2010-01-01,2010,1,199.0
2010-02-01,2010,2,218.7
2010-03-01,2010,3,198.5
2010-04-01,2010,4,201.3
2010-05-01,2010,5,200.0
2010-06-01,2010,6,199.1
2010-07-01,2010,7,194.2
2010-08-01,2010,8,191.4
2010-09-01,2010,9,198.1
2010-01-01,2010,1,193.7
2010-11-01,2010,11,197.4
2010-12-01,2010,12,196.7
2011-01-01,2011,1,203.5
2011-02-01,2011,2,202.3
2011-03-01,2011,3,194.8
2011-04-01,2011,4,197.6
2011-05-01,2011,5,194.7
2011-06-01,2011,6,194.2
2011-07-01,2011,7,189.7
2011-08-01,2011,8,186.6
2011-09-01,2011,9,194.1
2011-01-01,2011,1,188.7
2011-11-01,2011,11,193.4
2011-12-01,2011,12,191.5
2012-01-01,2012,1,203.3
