"시점",전국
"시점",외식
"1985.01",21.026
"1985.02",21.079
"1985.03",21.132
"1985.04",21.184
"1985.05",21.184
"1985.06",21.184
"1985.07",21.237
"1985.08",21.289
"1985.09",21.448
"1985.10",21.501
"1985.11",21.501
"1985.12",21.554
"1986.01",21.713
"1986.02",21.871
"1986.03",21.923
"1986.04",21.976
"1986.05",22.029
"1986.06",22.240
"1986.07",22.346
"1986.08",22.346
"1986.09",22.399
"1986.10",22.452
"1986.11",22.505
"1986.12",22.505
"1987.01",22.663
"1987.02",22.822
"1987.03",22.927
"1987.04",22.980
"1987.05",23.245
"1987.06",23.245
"1987.07",23.350
"1987.08",23.350
"1987.09",23.350
"1987.10",23.350
"1987.11",23.508
"1987.12",23.561
"1988.01",23.614
"1988.02",23.773
"1988.03",24.143
"1988.04",24.883
"1988.05",25.357
"1988.06",25.727
"1988.07",26.044
"1988.08",26.308
"1988.09",26.308
"1988.10",26.414
"1988.11",26.467
"1988.12",26.783
"1989.01",27.206
"1989.02",27.524
"1989.03",27.894
"1989.04",28.422
"1989.05",29.477
"1989.06",29.690
"1989.07",30.165
"1989.08",30.165
"1989.09",30.217
"1989.10",30.588
"1989.11",30.800
"1989.12",30.957
"1990.01",31.380
"1990.02",31.855
"1990.03",32.279
"1990.04",32.595
"1990.05",33.229
"1990.06",33.916
"1990.07",34.073
"1990.08",34.127
"1990.09",34.285
"1990.10",34.550
"1990.11",35.448
"1990.12",35.765
"1991.01",37.402
"1991.02",38.511
"1991.03",38.828
"1991.04",38.987
"1991.05",39.569
"1991.06",40.519
"1991.07",41.048
"1991.08",41.258
"1991.09",41.364
"1991.10",41.470
"1991.11",42.156
"1991.12",42.368
"1992.01",42.790
"1992.02",43.267
"1992.03",43.584
"1992.04",44.059
"1992.05",44.429
"1992.06",44.639
"1992.07",44.746
"1992.08",44.799
"1992.09",44.904
"1992.10",45.115
"1992.11",45.326
"1992.12",45.485
"1993.01",45.961
"1993.02",46.118
"1993.03",46.436
"1993.04",46.753
"1993.05",46.859
"1993.06",46.964
"1993.07",47.070
"1993.08",47.123
"1993.09",47.175
"1993.10",47.280
"1993.11",47.387
"1993.12",47.598
"1994.01",48.497
"1994.02",49.394
"1994.03",49.711
"1994.04",49.869
"1994.05",49.975
"1994.06",50.187
"1994.07",50.239
"1994.08",50.292
"1994.09",50.292
"1994.10",50.557
"1994.11",50.715
"1994.12",51.191
"1995.01",51.561
"1995.02",51.824
"1995.03",52.089
"1995.04",52.405
"1995.05",52.511
"1995.06",52.722
"1995.07",52.986
"1995.08",53.145
"1995.09",53.251
"1995.10",53.515
"1995.11",53.779
"1995.12",54.043
"1996.01",54.519
"1996.02",54.888
"1996.03",55.100
"1996.04",55.364
"1996.05",55.523
"1996.06",55.682
"1996.07",55.893
"1996.08",56.157
"1996.09",56.315
"1996.10",56.421
"1996.11",56.473
"1996.12",56.579
"1997.01",56.843
"1997.02",57.001
"1997.03",57.054
"1997.04",57.160
"1997.05",57.319
"1997.06",57.530
"1997.07",57.794
"1997.08",58.006
"1997.09",58.111
"1997.10",58.163
"1997.11",58.163
"1997.12",58.851
"1998.01",60.699
"1998.02",61.174
"1998.03",61.386
"1998.04",61.174
"1998.05",60.752
"1998.06",60.435
"1998.07",60.277
"1998.08",60.172
"1998.09",60.225
"1998.10",60.118
"1998.11",60.118
"1998.12",59.908
"1999.01",59.855
"1999.02",59.908
"1999.03",60.066
"1999.04",60.013
"1999.05",59.960
"1999.06",59.960
"1999.07",59.960
"1999.08",59.960
"1999.09",59.960
"1999.10",59.960
"1999.11",59.960
"1999.12",60.013
"2000.01",59.952
"2000.02",60.133
"2000.03",60.193
"2000.04",60.315
"2000.05",60.375
"2000.06",60.375
"2000.07",60.496
"2000.08",60.557
"2000.09",60.617
"2000.10",60.676
"2000.11",60.738
"2000.12",60.676
"2001.01",60.738
"2001.02",60.798
"2001.03",61.100
"2001.04",61.281
"2001.05",61.403
"2001.06",61.463
"2001.07",61.523
"2001.08",61.584
"2001.09",61.704
"2001.10",61.765
"2001.11",61.885
"2001.12",62.188
"2002.01",62.430
"2002.02",62.792
"2002.03",63.095
"2002.04",63.276
"2002.05",63.397
"2002.06",63.457
"2002.07",63.639
"2002.08",63.760
"2002.09",63.880
"2002.10",63.940
"2002.11",64.061
"2002.12",64.303
"2003.01",64.545
"2003.02",64.787
"2003.03",65.089
"2003.04",65.571
"2003.05",65.693
"2003.06",65.814
"2003.07",65.935
"2003.08",66.237
"2003.09",66.358
"2003.10",66.479
"2003.11",66.720
"2003.12",67.083
"2004.01",67.204
